1706663859.9886897	ON
1706663860.9898214	OFF
1706663861.9909058	ON
1706663862.9919472	OFF
1706663863.9929812	ON
1706663864.994246	OFF
1706663865.9955516	ON
1706663866.9968607	OFF
1706663867.9980938	ON
1706663868.9993057	OFF
1706663870.000552	ON
1706663871.0018344	OFF
1706663872.0031714	ON
1706663873.0044239	OFF
1706663874.0057256	ON
1706663875.0070283	OFF
1706663876.0083013	ON
1706663877.009624	OFF
1706663878.0108986	ON
1706663879.0121377	OFF
1706663880.01331	ON
1706663881.014574	OFF
1706663882.015834	ON
1706663883.0169914	OFF
1706663884.018212	ON
1706663885.0193934	OFF
1706663886.0206096	ON
1706663887.021819	OFF
1706663888.0230255	ON
1706663889.0241854	OFF
